ring_id,vertex_id,x,y
0,0,-100,-100
0,1,100,-100
0,2,100,100
0,3,-100,100
1,0,-80,-80
1,1,-70,-80
1,2,-70,-70
1,3,-80,-70
2,0,-30,-80
2,1,-20,-80
2,2,-20,-70
2,3,-30,-70
3,0,20,-80
3,1,30,-80
3,2,30,-70
3,3,20,-70
4,0,70,-80
4,1,80,-80
4,2,80,-70
4,3,70,-70
5,0,-80,20
5,1,-70,20
5,2,-70,30
5,3,-80,30
6,0,-30,20
6,1,-20,20
6,2,-20,30
6,3,-30,30
7,0,20,20
7,1,30,20
7,2,30,30
7,3,20,30
8,0,70,20
8,1,80,20
8,2,80,30
8,3,70,30
Total signed area in input: 4.080000e+04
Total signed area in output: 4.080000e+04
Total areal displacement: 0.000000e+00
